CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
24020	24037	1	0.9268	-0.036
24020	24445	1	0.8001	-14.052
23548	25708	1	0.7861	-86.073
23617	24016	1	0.8268	-14.016
24335	24337	1	0.8942	-0.000
23463	23464	1	0.9206	-0.000
23621	24434	1	0.7973	-28.031
24037	24453	1	0.7893	-14.037
23548	25709	1	0.7861	-86.073
24020	24436	1	0.943	-14.016
24337	25137	1	0.8029	-32.027
23621	25708	1	0.788	-84.094
25048	25052	1	0.9185	-0.051
24020	25137	1	0.8494	-42.047
24016	24022	1	0.7967	-0.028
24434	24827	1	0.8139	-14.016
25048	25051	1	0.9088	-0.051
24022	25136	1	0.7908	-42.047
23621	25137	1	0.7821	-56.063
24037	24445	1	0.9412	-14.016
24020	24022	1	0.9266	-0.000
23617	24037	1	0.7951	-14.080
23619	23621	1	0.7857	-0.000
23623	25137	1	0.8213	-56.063
24337	25051	1	0.9227	-28.031
23463	24024	1	0.809	-18.038
24037	24436	1	0.7915	-13.979
23619	24020	1	0.8163	-14.016
24020	24827	1	0.8259	-28.031
23100	23621	1	0.7963	-14.016
24337	25052	1	0.904	-28.031
24743	25051	1	0.9175	-14.016
24016	24453	1	0.7978	-14.101
25050	25051	1	0.9124	-0.014
24335	25051	1	0.8648	-28.031
24337	24743	1	0.9138	-14.015
23617	24022	1	0.7851	-14.043
25050	25052	1	0.9224	-0.014
25137	25709	1	0.805	-28.031
23623	24022	1	0.8514	-14.016
24436	25136	1	0.8026	-28.031
23619	24037	1	0.8175	-14.052
24022	24436	1	0.9228	-14.016
23463	24436	1	0.8384	-32.054
24445	24453	1	0.9409	-0.021
24743	25052	1	0.9188	-14.016
24434	25136	1	0.7868	-28.031
24020	24434	1	0.8985	-14.016
23623	25708	1	0.781	-84.094
23621	24022	1	0.8336	-14.016
23621	24020	1	0.8363	-14.016
25052	25709	1	0.7853	-32.027
24020	24024	1	0.8196	-0.000
24022	24434	1	0.8813	-14.016
24827	25137	1	0.8381	-14.016
23463	24453	1	0.825	-32.112
24022	24827	1	0.8128	-28.031
24016	24434	1	0.8034	-14.044
24436	24453	1	0.9209	-0.058
23621	25709	1	0.788	-84.094
24022	24024	1	0.8058	-0.000
23623	24037	1	0.7834	-14.052
24335	25052	1	0.8629	-28.031
23463	24016	1	0.785	-18.010
24024	24434	1	0.8716	-14.016
24024	24436	1	0.9147	-14.016
24022	24445	1	0.7883	-14.052
23617	23619	1	1.0	-0.028
24434	24445	1	0.9139	-0.036
23623	24436	1	0.8495	-28.031
23623	24020	1	0.8519	-14.016
24434	24436	1	0.9281	0.000
23619	24024	1	0.8504	-14.016
23621	24037	1	0.7843	-14.052
24020	25136	1	0.794	-42.047
24022	25137	1	0.8469	-42.047
24436	25137	1	0.8604	-28.032
24434	25137	1	0.8368	-28.032
23623	24827	1	0.7996	-42.047
23619	24022	1	0.8221	-14.016
23623	25709	1	0.781	-84.094
24016	24436	1	0.822	-14.044
24024	24037	1	0.8181	-0.036
24335	24743	1	0.8775	-14.016
24827	25136	1	0.7892	-14.016
24436	24827	1	0.839	-14.016
24434	24453	1	0.8772	-0.058
24016	24020	1	0.7952	-0.028
23623	24434	1	0.8276	-28.031
25048	25050	1	0.9021	-0.036
24436	24445	1	0.9721	-0.036
25137	25708	1	0.805	-28.031
24024	24453	1	0.823	-14.073
24022	24037	1	0.953	-0.036
24016	24037	1	0.7996	-0.064
25136	25137	1	0.9465	-0.000
23617	23621	1	0.8126	-0.028
23621	23623	1	0.8678	-0.000
23463	24434	1	0.8045	-32.054
25051	25052	1	0.938	0.000
23621	24436	1	0.8372	-28.031
25052	25708	1	0.7853	-32.027
24016	24445	1	0.8212	-14.080
25708	25709	1	1.0	0.000
23100	23103	1	1.0	-0.036
23463	24445	1	0.8478	-32.090
24016	24024	1	0.9454	-0.028
23617	24020	1	0.7913	-14.043
24024	24445	1	0.8633	-14.052
724	753	2	0.9079	-0.097
1050	13137	2	0.846	-169.036
10335	14582	2	0.7819	-43.896
305	309	2	0.9133	-0.076
305	1176	2	0.8028	-33.010
1884	10365	2	0.75	-119.276
10365	14582	2	0.7522	-43.809
663	1050	2	0.72	-13.083
663	1053	2	0.7083	-13.107
1050	1651	2	0.9141	-15.977
1884	1892	2	0.8682	-0.094
9776	14582	2	0.7192	-49.943
10335	10365	2	1.0	-0.088
1892	2643	2	0.8052	-15.884
309	322	2	0.92	-0.021
346	1053	2	0.7448	-27.069
346	693	2	0.8895	-15.000
1892	10335	2	0.7039	-119.095
1176	10365	2	0.7596	-136.249
1176	10335	2	0.7808	-136.161
10365	14583	2	0.7177	-43.809
333	10365	2	0.763	-168.275
10594	14583	2	0.7436	-40.918
1884	14582	2	0.8546	-163.085
2643	10335	2	0.7725	-103.211
1651	1884	2	0.7527	-4.928
1884	2643	2	0.9288	-15.977
1884	10335	2	0.7638	-119.188
693	1176	2	0.8696	-15.977
1884	20079	2	0.7459	-231.164
346	1050	2	0.7659	-27.044
305	322	2	0.9917	-0.097
2643	14582	2	0.8558	-147.108
322	4681	2	0.7303	-100.975
14582	14583	2	0.7711	-0.000
2942	10335	2	0.7093	-97.207
693	1050	2	0.892	-12.044
333	2643	2	0.8396	-64.976
1651	13137	2	0.8392	-153.059
305	333	2	0.7465	-0.984
1892	10365	2	0.7035	-119.183
1651	10365	2	0.8688	-124.204
1651	14582	2	0.7708	-168.013
6726	10335	2	0.7477	-41.290
1892	14582	2	0.7069	-162.991
1176	2643	2	0.7314	-32.950
2643	9776	2	0.7052	-97.165
693	1053	2	0.8648	-12.069
1176	1651	2	0.8443	-12.044
305	724	2	0.7799	-18.011
2643	10365	2	0.76	-103.299
309	1176	2	0.7002	-32.934
6726	14583	2	0.7106	-85.186
1651	2643	2	0.7469	-20.905
1651	10335	2	0.8799	-124.117
10335	10594	2	0.7464	-2.978
322	1176	2	0.7679	-32.913
305	4681	2	0.8211	-101.072
333	14583	2	0.7763	-212.083
333	10335	2	0.8506	-168.187
322	724	2	0.7227	-17.914
309	4681	2	0.7403	-100.996
333	1176	2	0.7969	-32.026
1050	1053	2	0.9497	-0.025
1651	14583	2	0.7502	-168.013
305	1651	2	0.7012	-45.054
2643	20079	2	0.7473	-215.187
10335	14583	2	0.8057	-43.897
333	14582	2	0.7167	-212.083
333	1651	2	0.822	-44.070
2570	2572	3	0.9154	0.000
6787	7114	3	0.8867	-3.995
3325	3326	3	0.9593	0.000
3314	3336	3	0.9116	-0.000
1708	3561	3	0.8642	-36.021
4657	4658	3	0.9239	0.000
1708	1719	3	0.955	-0.000
3560	4389	3	0.8669	-14.016
4389	7115	3	0.9264	-36.021
1708	3560	3	0.8761	-36.021
7114	7115	3	0.9682	-0.000
1716	1723	3	0.9247	-0.000
4657	6787	3	0.915	-28.031
2582	2587	3	0.964	0.000
2570	4657	3	0.8723	-36.021
3292	3326	3	0.9009	-0.036
5673	7018	3	0.9144	-17.026
3557	5673	3	0.8956	-32.027
5669	7115	3	0.9341	-18.011
5670	5673	3	0.9544	-0.000
3325	5673	3	0.8738	-36.021
4389	7114	3	0.9092	-36.021
3335	3336	3	0.9013	0.000
1687	1692	3	0.8662	-0.036
5669	7018	3	0.9547	-17.027
2572	2582	3	0.9372	-0.000
3314	7115	3	0.8854	-54.032
4389	7018	3	0.9038	-35.037
4389	4657	3	0.9327	-3.995
3560	7018	3	0.866	-49.053
2587	7018	3	0.8684	-67.063
3325	7115	3	0.8808	-54.032
5673	7115	3	0.9351	-18.010
1708	1725	3	0.9677	-0.000
4658	5673	3	0.8725	-14.016
3561	7018	3	0.8677	-49.053
5670	5672	3	0.9364	-0.000
2579	2587	3	0.9061	0.000
2570	3561	3	0.9279	-18.011
2582	3561	3	0.9175	-18.010
3557	7115	3	0.9095	-50.038
3557	7114	3	0.8847	-50.037
2570	3560	3	0.9685	-18.011
2581	3557	3	0.8683	-18.010
2570	7018	3	0.8725	-67.063
1719	1725	3	0.9623	0.000
4657	5669	3	0.925	-14.016
4389	5670	3	0.88	-18.010
4657	5673	3	0.8879	-14.016
