cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
1	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
239	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
240	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
241	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
385	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
386	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
387	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
388	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
389	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
391	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
