,InChIKey
0,InChIKey=TZUGIFAYWNNSAO-AZQGJTAVSA-N
1,InChIKey=MXLVASHNANBJDZ-UHFFFAOYSA-N
2,InChIKey=GIGFIWJRTMBSRP-UHFFFAOYSA-N
3,InChIKey=MRUAUOIMASANKQ-UHFFFAOYSA-O
4,InChIKey=WPMWEFXCIYCJSA-UHFFFAOYSA-N
5,InChIKey=VASUQTGZAPZKFK-UHFFFAOYSA-N
6,InChIKey=OYHQOLUKZRVURQ-HZJYTTRNSA-N
7,InChIKey=BFYIZQONLCFLEV-UHFFFAOYSA-N
8,InChIKey=BEOZJBLIRPRMJM-UHFFFAOYSA-N
9,InChIKey=MWHXMIASLKXGBU-RNCYCKTQSA-N
10,InChIKey=UVCJGUGAGLDPAA-UHFFFAOYSA-N
11,InChIKey=VASUQTGZAPZKFK-UHFFFAOYSA-N
12,InChIKey=QFZISQBFEIXWDM-UTLPMFLDSA-N
13,InChIKey=FZUGPQWGEGAKET-UHFFFAOYSA-N
14,InChIKey=RJKCKKDSSSRYCB-UHFFFAOYSA-N
15,InChIKey=DNTGGZPQPQTDQF-UHFFFAOYSA-N
16,InChIKey=KVMPUXDNESXNOH-UHFFFAOYSA-N
17,InChIKey=DIURMAFIAYOVGU-JVLNKKSHSA-N
18,InChIKey=RFFYIBOJHUSIGD-PHDUQKSESA-N
19,InChIKey=LJHWHJIZCYEPIR-UHFFFAOYSA-N
20,InChIKey=QTBUEOOGFWZGDJ-UHFFFAOYSA-N
21,InChIKey=VVOAZFWZEDHOOU-UHFFFAOYSA-N
22,InChIKey=JNARJHDJLSPXGM-UHFFFAOYSA-N
23,InChIKey=UCDHUMYDVNHERP-UHFFFAOYSA-N
24,InChIKey=QFYZFYDOEJZMDX-UHFFFAOYSA-N
25,InChIKey=HRRBJVNMSRJFHQ-UHFFFAOYSA-N
26,InChIKey=GYOGHROCTSEKDY-UHFFFAOYSA-N
27,InChIKey=DOOTYTYQINUNNV-UHFFFAOYSA-N
28,InChIKey=DVBDYPDVNRJKNJ-UHFFFAOYSA-N
29,InChIKey=IAOZJIPTCAWIRG-QWRGUYRKSA-N
30,InChIKey=WTLBZVNBAKMVDP-UHFFFAOYSA-N
31,InChIKey=XVPBINOPNYFXID-UHFFFAOYSA-N
32,InChIKey=OCYROESYHWUPBP-CIUDSAMLSA-N
33,InChIKey=MODKMHXGCGKTLE-UHFFFAOYSA-N
34,InChIKey=CYSHNJQMYORNJI-UHFFFAOYSA-N
35,InChIKey=MPJUSISYVXABBH-UHFFFAOYSA-N
36,InChIKey=LUZSWWYKKLTDHU-ZJHFMPGASA-N
37,InChIKey=IYLRRIUNGGQRTN-UHFFFAOYSA-N
38,InChIKey=JLIDBLDQVAYHNE-UHFFFAOYSA-N
39,InChIKey=FATBGEAMYMYZAF-KTKRTIGZSA-N
40,InChIKey=RYYVLZVUVIJVGH-UHFFFAOYSA-N
41,InChIKey=GZVHEAJQGPRDLQ-UHFFFAOYSA-N
42,InChIKey=JHSPCUHPSIUQRB-UHFFFAOYSA-N
43,InChIKey=RWIPSJUSVXDVPB-UHFFFAOYSA-N
44,InChIKey=HUTDUHSNJYTCAR-UHFFFAOYSA-N
45,InChIKey=HSEMFIZWXHQJAE-UHFFFAOYSA-N
46,InChIKey=PXTMHMPZOUHPQU-UHFFFAOYSA-N
47,InChIKey=UTBVIMLZIRIFFR-UHFFFAOYSA-N
48,InChIKey=KUFXJZXMWHNCEH-UHFFFAOYSA-N
49,InChIKey=JUVWKLNEQWVVNU-UHFFFAOYSA-N
50,InChIKey=ZSRVBNXAPSQDFY-OJVARPOJSA-N
51,InChIKey=ASMQGLCHMVWBQR-UHFFFAOYSA-N
52,InChIKey=UDYISUDUTWQUBB-YCRREMRBSA-N
53,InChIKey=AERBNCYCJBRYDG-KSZLIROESA-N
54,InChIKey=DOMXUEMWDBAQBQ-UHFFFAOYSA-N
55,InChIKey=ZKTMLINFIQCERN-UHFFFAOYSA-O
56,InChIKey=AKIHYQWCLCDMMI-UHFFFAOYSA-N
57,InChIKey=XYYAFLHHHZVPRN-GXTWGEPZSA-N
58,InChIKey=LHNBRZQJEHYCGL-UHFFFAOYSA-N
59,InChIKey=JXXASSOMEFVMFO-UHFFFAOYSA-N
60,InChIKey=OWRCNXZUPFZXOS-UHFFFAOYSA-N
61,InChIKey=NLDDIKRKFXEWBK-UHFFFAOYSA-N
62,InChIKey=KYGIKEQVUKTKRR-UHFFFAOYSA-N
63,InChIKey=AGHYMXKKEXDUTA-UHFFFAOYSA-N
64,InChIKey=BMDLYMLRGRZGPA-UHFFFAOYSA-N
65,InChIKey=AVRFPRAAVSCSSZ-UHFFFAOYSA-N
66,InChIKey=RVSYWRBZSPBTQV-YMKZMQERSA-N
67,InChIKey=SCULJPGYOQQXTK-OLRINKBESA-N
68,InChIKey=XUBOMFCQGDBHNK-UHFFFAOYSA-N
69,InChIKey=QBBXWGXXNFIASD-UHFFFAOYSA-N
70,InChIKey=QSLMDECMDJKHMQ-UHFFFAOYSA-N
71,InChIKey=OZNNWTQYFYFKJQ-UHFFFAOYSA-N
72,InChIKey=DFOCUWZXJBAUSQ-UHFFFAOYSA-N
73,InChIKey=MGNFYQILYYYUBS-UHFFFAOYSA-N
74,InChIKey=VXUOFDJKYGDUJI-OAQYLSRUSA-N
75,InChIKey=FSLWKIHHQUNBQK-LDGRNEMHSA-N
76,InChIKey=SYELZBGXAIXKHU-UHFFFAOYSA-N
77,InChIKey=COAYVFJQIHKDGW-UHFFFAOYSA-N
78,InChIKey=BLUAFEHZUWYNDE-UHFFFAOYSA-N
79,InChIKey=BWLUMTFWVZZZND-UHFFFAOYSA-N
80,InChIKey=QWWUZAJFCIZIIQ-UHFFFAOYSA-N
81,InChIKey=ZFQMTVNLDNXRNQ-UHFFFAOYSA-O
82,InChIKey=ZTVIKZXZYLEVOL-UHFFFAOYSA-N
83,InChIKey=BACYUWVYYTXETD-UHFFFAOYSA-N
84,InChIKey=WYUXCFIIQXQQBX-UHFFFAOYSA-N
85,InChIKey=FBMORZZOJSDNRQ-UHFFFAOYSA-N
86,InChIKey=OKJVOMAJPDVZJV-UHFFFAOYSA-N
87,InChIKey=SUAPQGLGNKUSLY-LJISPDSOSA-N
88,InChIKey=IGBVBNCWEWYJRK-ICQHPXPZSA-N
89,InChIKey=AECKHVBXVWKZPA-UHFFFAOYSA-N
90,InChIKey=LZOSYCMHQXPBFU-UHFFFAOYSA-N
91,InChIKey=YBHMPNRDOVPQIN-UHFFFAOYSA-N
92,InChIKey=NDAUXUAQIAJITI-UHFFFAOYSA-N
93,InChIKey=FMGSKLZLMKYGDP-UHFFFAOYSA-N
94,InChIKey=TZUMHGNAWOBUHF-UHFFFAOYSA-N
95,InChIKey=FMPNFDSPHNUFOS-UHFFFAOYSA-N
96,InChIKey=HZKFHDXTSAYOSN-UHFFFAOYSA-N
97,InChIKey=ZPCVGYBSUXVZLD-UHFFFAOYSA-N
98,InChIKey=XXANNZJIZQTCBP-UHFFFAOYSA-N
99,InChIKey=GWWGRYGNRKFSSX-UHFFFAOYSA-N
100,InChIKey=GGEZLRWSCGBGEW-UHFFFAOYSA-N
101,InChIKey=GQEOLYBERRZZCE-UHFFFAOYSA-N
102,InChIKey=CDSMSBUVCWHORP-UHFFFAOYSA-N
103,InChIKey=SHGAZHPCJJPHSC-UHFFFAOYSA-N
104,InChIKey=PAZOLAPVCOLMKJ-UHFFFAOYSA-N
105,InChIKey=SDAXMMUAZRUWNL-UHFFFAOYSA-N
106,InChIKey=VSFZYCDPDWSYSS-UHFFFAOYSA-N
107,InChIKey=YKIOHMXLFWMWKD-JJUYGIQRSA-N
108,InChIKey=XTLROSDJDZHIIK-UHFFFAOYSA-N
109,InChIKey=XADCESSVHJOZHK-UHFFFAOYSA-N
110,InChIKey=KTEXNACQROZXEV-UHFFFAOYSA-N
111,InChIKey=GLZWNFNQMJAZGY-UHFFFAOYSA-N
112,InChIKey=ACHDMUPTZYZIGR-CUHSZNQNSA-N
113,InChIKey=TZRLXJWNQJZPGJ-UHFFFAOYSA-N
114,InChIKey=DCBSHORRWZKAKO-UHFFFAOYSA-N
115,InChIKey=MDIUMSLCYIJBQC-UHFFFAOYSA-N
116,InChIKey=IDIIJJHBXUESQI-DFIJPDEKSA-N
117,InChIKey=RBEJCQPPFCKTRZ-LHMZYYNSSA-N
118,InChIKey=LKDRXBCSQODPBY-UHFFFAOYSA-N
119,InChIKey=KRNUKKZDGDAWBF-UHFFFAOYSA-N
120,InChIKey=DNJVYWXIDISQRD-UHFFFAOYSA-N
121,InChIKey=DECIPOUIJURFOJ-UHFFFAOYSA-N
122,InChIKey=WTOYNNBCKUYIKC-JMSVASOKSA-N
123,InChIKey=SFCUSJOYYNAHAS-UHFFFAOYSA-N
124,InChIKey=MMOXZBCLCQITDF-UHFFFAOYSA-N
125,InChIKey=ZULJGOSFKWFVRX-UHFFFAOYSA-N
126,InChIKey=OMEMQVZNTDHENJ-UHFFFAOYSA-N
127,InChIKey=MVMMGVPSTRNMSV-UHFFFAOYSA-N
128,InChIKey=QZCLKYGREBVARF-UHFFFAOYSA-N
129,InChIKey=WJCNZQLZVWNLKY-UHFFFAOYSA-N
130,InChIKey=UWKQJZCTQGMHKD-UHFFFAOYSA-N
131,InChIKey=OWRNLGZKEZSHGO-UHFFFAOYSA-N
132,InChIKey=LVGFUQQKJNSKPM-UHFFFAOYSA-N
133,InChIKey=DQWPFSLDHJDLRL-UHFFFAOYSA-N
134,InChIKey=UTRJNVUJZHUXNP-VQCNVNLLSA-N
135,InChIKey=OYFJQPXVCSSHAI-BDURURIASA-N
136,InChIKey=SPGPUDJMXMJNCU-MNNMKWMVSA-N
137,InChIKey=IWRPVTXREVYBHT-UHFFFAOYSA-N
138,InChIKey=FIAAVMJLAGNUKW-UHFFFAOYSA-N
139,InChIKey=RDUHXGIIUDVSHR-UHFFFAOYSA-N
140,InChIKey=HQUQLFOMPYWACS-UHFFFAOYSA-N
141,InChIKey=OZIPFYKAIOOVEJ-ODWUMMNUSA-N
142,InChIKey=FADHJFXHKLXQOJ-NRWMFWRASA-N
143,InChIKey=ASWVTGNCAZCNNR-UHFFFAOYSA-N
144,InChIKey=DXIYOCNHJLPWQM-JXPYDTCBSA-N
145,InChIKey=FOXFZRUHNHCZPX-UHFFFAOYSA-N
146,InChIKey=LXOFYPKXCSULTL-UHFFFAOYSA-N
147,InChIKey=RERZNCLIYCABFS-UHFFFAOYSA-N
148,InChIKey=CQSLTKIXAJTQGA-UHFFFAOYSA-N
149,InChIKey=AOMUHOFOVNGZAN-UHFFFAOYSA-N
150,InChIKey=XWAIAVWHZJNZQQ-UHFFFAOYSA-N
151,InChIKey=WVPPLOSRTXOZAP-UHFFFAOYSA-N
152,InChIKey=RXZQACCASWKYSX-UHFFFAOYSA-N
153,InChIKey=SNPLKNRPJHDVJA-UHFFFAOYSA-N
154,InChIKey=AADVZSXPNRLYLV-UHFFFAOYSA-N
155,InChIKey=ZEMNDQUOMWGCAZ-UHFFFAOYSA-O
156,InChIKey=YNPFMWCWRVTGKJ-UHFFFAOYSA-N
157,InChIKey=CVUANYCQTOGILD-UHFFFAOYSA-N
158,InChIKey=HCZHHEIFKROPDY-UHFFFAOYSA-N
159,InChIKey=LALQREGILMIJSW-UHFFFAOYSA-N
160,InChIKey=QIQNNBXHAYSQRY-ABIFROTESA-N
161,InChIKey=SECPZKHBENQXJG-BQYQJAHWSA-N
162,InChIKey=RHGKLRLOHDJJDR-UHFFFAOYSA-N
163,InChIKey=ULDHMXUKGWMISQ-SECBINFHSA-N
164,InChIKey=LKMNXYDUQXAUCZ-UHFFFAOYSA-N
165,InChIKey=MSOHKYKACHEERC-UHFFFAOYSA-N
166,InChIKey=PLZVEHJLHYMBBY-UHFFFAOYSA-N
167,InChIKey=FVNYMYXXKXAQHS-UHFFFAOYSA-N
