,SMILES
0,CO\C=C(/[C@H]1C[C@H]2N(CCC3=C2NC2=CC=CC=C32)C[C@@H]1C=C)C(=O)OC
1,Cn1c(N=C(N)N(C)C2=O)c2nc1
2,O=C(OC)C1=C2NC=3C=CC=CC3C24CCN5CCCC(C1)(CC)C54
3,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)=O
4,CCCCCCCCCCCCOCCOCCOCCOCCO
5,COC1=CC2=C(C=C1OC)C(C)=NCC2
6,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
7,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C
8,CCN1N=C(C)C2=C1C(=O)NCC(=N2)C1=CC=C(O)C=C1
9,CC(C)C(=O)OC1=C(C=C(C=C1)CO)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(=C/C(=O)O)\C(=O)O
10,c1ccc(cc1)c2[nH]c3cc(ccc3n2)S(=O)(=O)O
11,COC1=C(OC)C=C2C(C)=NCCC2=C1
12,CC(CCCCC(O)C(CO)C(O)=O)C\\C(C)=C\\C(C)=C\\C(O)=O
13,CCOC(=O)C1=CC=C(C=C1)N(C)C
14,c1ccccc1CN(C(=O)C(C)(C)C)C(C)C
15,O=C(N(c1ccccc1C)CC)C=CC
16,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl
17,C[C@@](CCC1)(C(CC[C@H]2C3)[C@@]3(CC3)C=C2C=O)C3[C@@]1(C)C(O)=O
18,CC(C)=CCC\C(C)=C\CO[C@@H]1O[C@H](CO[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
19,COc1cc(-c2cc(-c3ccc(C)cc3)c(C#N)c(O)n2)cc(OC)c1OC
20,CC(C)C(=O)OCC1CCC[N+]2(C)CCCCC12
21,OC1=CC=C(CC=C)C=C1C1=CC(CC=C)=CC=C1O
22,OC1C2(C)CN3CCN(C2)CC1(C)C3
23,COc1cc(-c2cc(-c3ccccc3)c(C#N)c(O)n2)cc(OC)c1OC
24,CN1N(C(=O)C(C=O)=C1C)C1=CC=CC=C1
25,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O
26,CCC(C(C(C1C)C2C3)OC1=O)C(CCCC1)C2N1C3C(CC1C)OC1=O
27,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
28,O=C2N(c1c(cccc1C)CC)C(C)COC2
29,COC(=O)[C@H](CC1=CC=CC=C1)/N=C(/[C@H](CC(=O)O)N)\O
30,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
31,C1CC2C3CCC[N+]4(C3C(CCC4)CN2C(=O)C1)[O-]
32,CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1
33,CC(=O)NCCC1=CC=CC=C1
34,CC1=CCC2(C)CCC(O)(C(C)C)C2C(OC(=O)c2ccc(O)cc2)C1
35,C1(C=C(C=CC=1)C2(CN(CCCC2)C)CC)O.Cl
36,CCCCC/C=C\C=C\C(=O)CCCCCCCC(=O)O
37,COC(=O)C1CC23CCCN4CCC5(c6ccccc6NC15CC2)C43
38,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O
39,CCCCCCCC/C=C\CCCCCCCC(=O)N
40,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
41,NC1=NC(=NC(N)=N1)C1=CC=CC=C1
42,NC(=O)c1c(Cl)cccc1Cl
43,CCCCC=CCCCCCCCC(=O)OC
44,COC1=CC=C(C=C1)C(O)(C1CC1)C1=CN=CN=C1
45,CCCCCCCCCCCCCCCC(=O)N
46,COc1cc(C(O)=NCC23CC4CC(CC(C4)C2)C3)cc(OC)c1OC
47,CSC1=NC2=CC=CC=C2S1
48,CC1=C2CC(CCC2(CCC1=O)C)C(=C)C
49,CCN(CC)c1ccc(C2C3CCCCC3(O)CCN2C(=O)C=Cc2ccc(OC)c(OC)c2)cc1
50,CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H](C[C@H]([C@@]34CO4)O2)O)C)CO
51,OP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1
52,C/C=C/C(CC(C(CCCCCCCC(O)=O)(C=C1)O)C1=O)OC(C)=O
53,CCCCCCCCCCCCCC[C@H]([C@H]([C@H](CO)N)O)O
54,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21
55,OC1=CC=C(C=C1)CC2C3=CC(OC)=C(O)C=C3CC[N+]2(C)C
56,O=C(C=CC1=CC=C(O)C=C1)NCCCCNC(=N)N
57,CC1=C2C(=O)O[C@H]([C@@]2(CCC1)C)C3=COC=C3
58,CC(C)C(Nc1ncnc2ccccc12)C(=O)O
59,CCCCCCCCCCCCCCCCCCC(NCCCCC)=O
60,N=C(NC1=CC=CC=C1)NC1=CC=CC=C1
61,CCCCCC(O)CC(=O)CCC1=CC(OC)=C(O)C=C1
62,CCCCCCCC(=O)CC(=O)NC1CCOC1=O
63,CC1=CC=C(C=C1)NC2=CC=CC=C2
64,CCc1c(O)nc2cc(C)cc(C)c2c1O
65,CCC1CC2CN3CCC4(O)C5=CC(OC)=CC=C5N=C4C(C2)(C13)C(=O)OC
