Sample_ID,Analysis_Type,Year,Month,Day,Time,Time_Point,Exp_Sample_Type,Treatment_ratio,Replicate,Bottle_Nr,Notes,"Keyword: SAMPLE ID for Plot #2, overlay #1",,,Filename,Nr of Events,"Nr of Events, Gate 1","Nr of Events, Gate 2","Nr of Events, Top","Nr of Events, gate4","Nr of Events, LDNA",Concentration,Concentration_Gate1,Concentration_Gate2,Concentration_Gate3,Concentration_Gate4,Concentration_LDNA
CU18_391,Virus,2018,11,28,00;15,0,Experiment,Dictyota,1,1,0,CU18,391,2,ba190218.052,19605,5059,1213,419,37,1720,852391.3043,219956.5217,52739.13043,18217.3913,1608.695652,74782.6087
CU18_392,Virus,2018,11,28,00;15,0,Experiment,Dictyota,2,2,0,CU18,392,2,ba190218.054,19575,5750,1308,425,35,2135,851086.9565,250000,56869.56522,18478.26087,1521.73913,92826.08696
CU18_393,Virus,2018,11,28,00;15,0,Experiment,Dictyota,3,3,0,CU18,393,2,ba190218.056,17085,5038,1125,348,31,1853,742826.087,219043.4783,48913.04348,15130.43478,1347.826087,80565.21739
CU18_394,Virus,2018,11,28,00;15,0,Experiment,Coral_Dictyota,1,4,0,CU18,394,2,ba190218.058,14910,4402,1095,269,15,1552,648260.8696,191391.3043,47608.69565,11695.65217,652.173913,67478.26087
CU18_395,Virus,2018,11,28,00;15,0,Experiment,Coral_Dictyota,2,5,0,CU18,395,2,ba190218.060,12480,4074,702,144,5,1671,542608.6957,177130.4348,30521.73913,6260.869565,217.3913043,72652.17391
CU18_396,Virus,2018,11,28,00;15,0,Experiment,Coral_Dictyota,3,6,0,CU18,396,2,ba190218.062,16110,4230,992,288,26,1498,700434.7826,183913.0435,43130.43478,12521.73913,1130.434783,65130.43478
CU18_397,Virus,2018,11,28,00;15,0,Experiment,Coral,1,7,0,CU18,397,2,ba190218.064,14715,4518,1001,244,20,1733,639782.6087,196434.7826,43521.73913,10608.69565,869.5652174,75347.82609
CU18_398,Virus,2018,11,28,00;15,0,Experiment,Coral,2,8,0,CU18,398,2,ba190218.066,18600,5045,1281,389,50,1544,808695.6522,219347.8261,55695.65217,16913.04348,2173.913043,67130.43478
CU18_399,Virus,2018,11,28,00;15,0,Experiment,Coral,3,9,0,CU18,399,10,ba190218.089,3735,994,242,118,11,213,811956.5217,216086.9565,52608.69565,25652.17391,2391.304348,46304.34783
CU18_400,Virus,2018,11,28,00;15,0,Experiment,Coral_Turf,1,10,0,CU18,400,2,ba190218.092,17145,4681,1106,404,39,1451,745434.7826,203521.7391,48086.95652,17565.21739,1695.652174,63086.95652
CU18_401,Virus,2018,11,28,00;15,0,Experiment,Coral_Turf,2,11,0,CU18,401,2,ba190218.094,17595,4788,1165,470,37,1524,765000,208173.913,50652.17391,20434.78261,1608.695652,66260.86957
CU18_402,Virus,2018,11,28,00;15,0,Experiment,Coral_Turf,3,12,0,CU18,402,2,ba190218.096,17400,5029,1220,419,45,1615,756521.7391,218652.1739,53043.47826,18217.3913,1956.521739,70217.3913
CU18_403,Virus,2018,11,28,00;15,0,Experiment,Turf,1,13,0,CU18,403,2,ba190218.098,13545,4190,1072,293,15,1640,588913.0435,182173.913,46608.69565,12739.13043,652.173913,71304.34783
CU18_405,Virus,2018,11,28,00;15,0,Experiment,Turf,2,14,0,CU18,405,2,ba190218.100,14100,4022,1107,307,18,1439,613043.4783,174869.5652,48130.43478,13347.82609,782.6086957,62565.21739
CU18_406,Virus,2018,11,28,00;15,0,Experiment,Turf,3,15,0,CU18,406,2,ba190218.102,12735,3815,1049,302,18,1358,553695.6522,165869.5652,45608.69565,13130.43478,782.6086957,59043.47826
CU18_407,Virus,2018,11,28,00;15,0,Control,Control,1,16,0,CU18,407,2,ba190218.104,19770,4360,1150,361,20,1607,859565.2174,189565.2174,50000,15695.65217,869.5652174,69869.56522
CU18_408,Virus,2018,11,28,00;15,0,Control,Control,2,17,0,CU18,408,2,ba190218.106,18180,4308,1223,360,25,1498,790434.7826,187304.3478,53173.91304,15652.17391,1086.956522,65130.43478
CU18_409,Virus,2018,11,28,00;15,0,Control,Control,3,18,0,CU18,409,2,ba190218.108,18315,4262,1210,380,31,1444,796304.3478,185304.3478,52608.69565,16521.73913,1347.826087,62782.6087
CU18_190219,Virus,2018,11,28,00;15,0,BLANK,BLANK,0,0,0,CU18,190219,1,ba190219.021,135,7,0,0,0,1,2934.782609,152.173913,0,0,0,21.73913043
CU18_190219,Virus,2018,11,28,00;15,0,BLANK,BLANK,0,0,0,CU18,190219,1,ba190219.022,120,5,0,0,0,1,2608.695652,108.6956522,0,0,0,21.73913043
CU18_428,Virus,2018,11,28,09;00,9,Experiment,Dictyota,1,1,0,CU18,428,10,ba190219.023,6780,2108,435,244,91,744,1473913.043,458260.8696,94565.21739,53043.47826,19782.6087,161739.1304
CU18_429,Virus,2018,11,28,09;00,9,Experiment,Dictyota,2,2,0,CU18,429,2,ba190219.026,4665,2289,144,58,1,1325,202826.087,99521.73913,6260.869565,2521.73913,43.47826087,57608.69565
