Sample_ID,Analysis_Type,Year,Month,Day,Time,Time_Point,Exp_Sample_Type,Treatment_ratio,Replicate,Bottle_Nr,Notes,MCSMAC,Filename,"Keyword: SAMPLE ID for Plot #3, overlay #1",Dilution,nr_of_Events,nr_of_Events_V1,nr_of_Events_V2,nr_of_Events_V3,nr_of_total_viral,Concentration_total,Concentration_V1,Concentration_V2,Concentration_V3,Concentration_All_viral
CU18_391,Virus,2018,11,28,00;15,0,Experiment,Dictyota,1,1,0,2,vi190218.036,CU18_391_10x,10,42030,27306,9695,2144,39145,9136956.522,5936086.957,2107608.696,466086.9565,8509782.609
CU18_392,Virus,2018,11,28,00;15,0,Experiment,Dictyota,2,2,0,2,vi190218.038,CU18_392_10x,10,39045,26245,8296,1801,36342,8488043.478,5705434.783,1803478.261,391521.7391,7900434.783
CU18_393,Virus,2018,11,28,00;15,0,Experiment,Dictyota,3,3,0,2,vi190218.040,CU18_393_10x,10,36165,24556,7573,1603,33732,7861956.522,5338260.87,1646304.348,348478.2609,7333043.478
CU18_394,Virus,2018,11,28,00;15,0,Experiment,Coral_Dictyota,1,4,0,2,vi190218.042,CU18_394_10x,10,65400,39201,17526,3963,60690,14217391.3,8521956.522,3810000,861521.7391,13193478.26
CU18_395,Virus,2018,11,28,00;15,0,Experiment,Coral_Dictyota,2,5,0,2,vi190218.044,CU18_395_10x,10,39630,27676,7834,1479,36989,8615217.391,6016521.739,1703043.478,321521.7391,8041086.957
CU18_396,Virus,2018,11,28,00;15,0,Experiment,Coral_Dictyota,3,6,0,2,vi190218.046,CU18_396_10x,10,40995,29441,7705,1609,38755,8911956.522,6400217.391,1675000,349782.6087,8425000
CU18_397,Virus,2018,11,28,00;15,0,Experiment,Coral,1,7,0,2,vi190218.048,CU18_397_10x,10,51270,33230,12393,2557,48180,11145652.17,7223913.043,2694130.435,555869.5652,10473913.04
CU18_398,Virus,2018,11,28,00;15,0,Experiment,Coral,2,8,0,2,vi190218.050,CU18_398_10x,10,39285,28934,7103,1335,37372,8540217.391,6290000,1544130.435,290217.3913,8124347.826
CU18_399,Virus,2018,11,28,00;15,0,Experiment,Coral,3,9,0,2,vi190218.070,CU18_399_10x,10,42870,33814,6151,950,40915,9319565.217,7350869.565,1337173.913,206521.7391,8894565.217
CU18_400,Virus,2018,11,28,00;15,0,Experiment,Coral_Turf,1,10,0,2,vi190218.072,CU18_400_10x,10,35610,28288,5126,789,34203,7741304.348,6149565.217,1114347.826,171521.7391,7435434.783
CU18_401,Virus,2018,11,28,00;15,0,Experiment,Coral_Turf,2,11,0,2,vi190218.074,CU18_401_10x,10,48795,37197,8112,1365,46674,10607608.7,8086304.348,1763478.261,296739.1304,10146521.74
CU18_402,Virus,2018,11,28,00;15,0,Experiment,Coral_Turf,3,12,0,2,vi190218.076,CU18_402_10x,10,35625,27661,5237,840,33738,7744565.217,6013260.87,1138478.261,182608.6957,7334347.826
CU18_403,Virus,2018,11,28,00;15,0,Experiment,Turf,1,13,0,2,vi190218.078,CU18_403_10x,10,31890,18647,9259,1985,29891,6932608.696,4053695.652,2012826.087,431521.7391,6498043.478
CU18_405,Virus,2018,11,28,00;15,0,Experiment,Turf,2,14,0,2,vi190218.080,CU18_405_10x,10,29745,17329,8375,1909,27613,6466304.348,3767173.913,1820652.174,415000,6002826.087
CU18_406,Virus,2018,11,28,00;15,0,Experiment,Turf,3,15,0,2,vi190218.082,CU18_406_10x,10,32160,18883,9299,1942,30124,6991304.348,4105000,2021521.739,422173.913,6548695.652
CU18_407,Virus,2018,11,28,00;15,0,Control,Control,1,16,0,2,vi190218.084,CU18_407_10x,10,48825,22715,16667,5387,44769,10614130.43,4938043.478,3623260.87,1171086.957,9732391.304
CU18_408,Virus,2018,11,28,00;15,0,Control,Control,2,17,0,2,vi190218.086,CU18_408_10x,10,42585,19775,15443,4584,39802,9257608.696,4298913.043,3357173.913,996521.7391,8652608.696
CU18_409,Virus,2018,11,28,00;15,0,Control,Control,3,18,0,2,vi190218.088,CU18_409_10x,10,37695,19271,12423,3291,34985,8194565.217,4189347.826,2700652.174,715434.7826,7605434.783
CU18_428,Virus,2018,11,28,09;00,9,Experiment,Dictyota,1,1,0,2,vi190219.004,CU18_428_10x,10,31710,15334,8516,1978,25828,6893478.261,3333478.261,1851304.348,430000,5614782.609
CU18_429,Virus,2018,11,28,09;00,9,Experiment,Dictyota,2,2,0,2,vi190219.005,CU18_429_100x,100,8175,5679,1500,341,7520,17771739.13,12345652.17,3260869.565,741304.3478,16347826.09
CU18_430,Virus,2018,11,28,09;00,9,Experiment,Dictyota,3,3,0,2,vi190219.007,CU18_430_100x,100,9135,6192,1901,378,8471,19858695.65,13460869.57,4132608.696,821739.1304,18415217.39
CU18_431,Virus,2018,11,28,09;00,9,Experiment,Coral_Dictyota,1,4,0,2,vi190219.010,CU18_431_10x,10,38550,19354,11473,2938,33765,8380434.783,4207391.304,2494130.435,638695.6522,7340217.391
CU18_432,Virus,2018,11,28,09;00,9,Experiment,Coral_Dictyota,2,5,0,2,vi190219.012,CU18_432_10x,10,34485,17338,9885,2412,29635,7496739.13,3769130.435,2148913.043,524347.8261,6442391.304
CU18_433,Virus,2018,11,28,09;00,9,Experiment,Coral_Dictyota,3,6,0,2,vi190219.014,CU18_433_10x,10,43050,20095,13356,3469,36920,9358695.652,4368478.261,2903478.261,754130.4348,8026086.957
CU18_434,Virus,2018,11,28,09;00,9,Experiment,Coral,1,7,0,2,vi190219.016,CU18_434_10x,10,40410,22068,11821,2835,36724,8784782.609,4797391.304,2569782.609,616304.3478,7983478.261
CU18_435,Virus,2018,11,28,09;00,9,Experiment,Coral,2,8,0,2,vi190219.018,CU18_435_10x,10,33225,18347,9758,2217,30322,7222826.087,3988478.261,2121304.348,481956.5217,6591739.13
CU18_436,Virus,2018,11,28,09;00,9,Experiment,Coral,3,9,0,2,vi190219.020,CU18_436_10x,10,47040,29364,11667,2609,43640,10226086.96,6383478.261,2536304.348,567173.913,9486956.522
