Site Name ,OUTSIDE
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4608


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,21/11/2018 , 14:48:10,10446,10446
2,21/11/2018 , 14:58:10,22507,22507
3,21/11/2018 , 15:08:10,20648,20648
4,21/11/2018 , 15:18:10,24909,24909
5,21/11/2018 , 15:28:10,27400,27400
6,21/11/2018 , 15:38:10,19476,19476
7,21/11/2018 , 15:48:10,21294,21294
8,21/11/2018 , 15:58:10,23998,23998
9,21/11/2018 , 16:08:10,24116,24116
10,21/11/2018 , 16:18:10,25083,25083
11,21/11/2018 , 16:28:10,25160,25160
12,21/11/2018 , 16:38:10,24137,24137
13,21/11/2018 , 16:48:10,22371,22371
14,21/11/2018 , 16:58:10,24155,24155
15,21/11/2018 , 17:08:10,13423,13423
16,21/11/2018 , 17:18:10,17550,17550
17,21/11/2018 , 17:28:10,20166,20166
18,21/11/2018 , 17:38:10,14296,14296
19,21/11/2018 , 17:48:10,8003,8003
20,21/11/2018 , 17:58:10,6316,6316
21,21/11/2018 , 18:08:10,5401,5401
22,21/11/2018 , 18:18:10,5485,5485
23,21/11/2018 , 18:28:10,5523,5523
24,21/11/2018 , 18:38:10,5201,5201
25,21/11/2018 , 18:48:10,4532,4532
26,21/11/2018 , 18:58:10,5434,5434
27,21/11/2018 , 19:08:10,4242,4242
28,21/11/2018 , 19:18:10,4446,4446
29,21/11/2018 , 19:28:10,4001,4001
30,21/11/2018 , 19:38:10,3172,3172
31,21/11/2018 , 19:48:10,2329,2329
32,21/11/2018 , 19:58:10,1987,1987
33,21/11/2018 , 20:08:10,1608,1608
34,21/11/2018 , 20:18:10,1613,1613
35,21/11/2018 , 20:28:10,2006,2006
36,21/11/2018 , 20:38:10,2019,2019
37,21/11/2018 , 20:48:10,2651,2651
38,21/11/2018 , 20:58:10,2804,2804
39,21/11/2018 , 21:08:10,1520,1520
40,21/11/2018 , 21:18:10,1038,1038
41,21/11/2018 , 21:28:10,964,964
42,21/11/2018 , 21:38:10,856,856
43,21/11/2018 , 21:48:10,807,807
44,21/11/2018 , 21:58:10,758,758
45,21/11/2018 , 22:08:10,673,673
46,21/11/2018 , 22:18:10,635,635
47,21/11/2018 , 22:28:10,533,533
48,21/11/2018 , 22:38:10,422,422
49,21/11/2018 , 22:48:10,266,266
50,21/11/2018 , 22:58:10,151,151
51,21/11/2018 , 23:08:10,64,64
52,21/11/2018 , 23:18:10,12,12
53,21/11/2018 , 23:28:10,0,0
54,21/11/2018 , 23:38:10,2,2
55,21/11/2018 , 23:48:10,3,3
56,21/11/2018 , 23:58:10,3,3
57,22/11/2018 , 00:08:10,2,2
58,22/11/2018 , 00:18:10,3,3
59,22/11/2018 , 00:28:10,3,3
60,22/11/2018 , 00:38:10,3,3
61,22/11/2018 , 00:48:10,3,3
62,22/11/2018 , 00:58:10,3,3
63,22/11/2018 , 01:08:10,3,3
64,22/11/2018 , 01:18:10,3,3
