Site Name ,OUTSIDE2211
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4608


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,22/11/2018 , 10:01:00,1521,1521
2,22/11/2018 , 10:02:00,1618,1618
3,22/11/2018 , 10:03:00,2016,2016
4,22/11/2018 , 10:04:00,2505,2505
5,22/11/2018 , 10:05:00,2624,2624
6,22/11/2018 , 10:06:00,3003,3003
7,22/11/2018 , 10:07:00,2084,2084
8,22/11/2018 , 10:08:00,1900,1900
9,22/11/2018 , 10:09:00,2074,2074
10,22/11/2018 , 10:10:00,2571,2571
11,22/11/2018 , 10:11:00,985,985
12,22/11/2018 , 10:12:00,2230,2230
13,22/11/2018 , 10:13:00,2099,2099
14,22/11/2018 , 10:14:00,1384,1384
15,22/11/2018 , 10:15:00,578,578
16,22/11/2018 , 10:16:00,519,519
17,22/11/2018 , 10:17:00,569,569
18,22/11/2018 , 10:18:00,619,619
19,22/11/2018 , 10:19:00,423,423
20,22/11/2018 , 10:20:00,512,512
21,22/11/2018 , 10:21:00,2123,2123
22,22/11/2018 , 10:22:00,2142,2142
23,22/11/2018 , 10:23:00,1574,1574
24,22/11/2018 , 10:24:00,1024,1024
25,22/11/2018 , 10:25:00,1704,1704
26,22/11/2018 , 10:26:00,1789,1789
27,22/11/2018 , 10:27:00,1382,1382
28,22/11/2018 , 10:28:00,1596,1596
29,22/11/2018 , 10:29:00,1489,1489
30,22/11/2018 , 10:30:00,725,725
31,22/11/2018 , 10:31:00,1152,1152
32,22/11/2018 , 10:32:00,3083,3083
33,22/11/2018 , 10:33:00,2762,2762
34,22/11/2018 , 10:34:00,2414,2414
35,22/11/2018 , 10:35:00,1948,1948
36,22/11/2018 , 10:36:00,2490,2490
37,22/11/2018 , 10:37:00,2041,2041
38,22/11/2018 , 10:38:00,3304,3304
39,22/11/2018 , 10:39:00,3142,3142
40,22/11/2018 , 10:40:00,1949,1949
41,22/11/2018 , 10:41:00,1933,1933
42,22/11/2018 , 10:42:00,1129,1129
43,22/11/2018 , 10:43:00,1109,1109
44,22/11/2018 , 10:44:00,1326,1326
45,22/11/2018 , 10:45:00,1216,1216
46,22/11/2018 , 10:46:00,1344,1344
47,22/11/2018 , 10:47:00,1298,1298
48,22/11/2018 , 10:48:00,1281,1281
49,22/11/2018 , 10:49:00,1495,1495
50,22/11/2018 , 10:50:00,2026,2026
51,22/11/2018 , 10:51:00,2709,2709
52,22/11/2018 , 10:52:00,2702,2702
53,22/11/2018 , 10:53:00,2982,2982
54,22/11/2018 , 10:54:00,3233,3233
55,22/11/2018 , 10:55:00,3286,3286
56,22/11/2018 , 10:56:00,3044,3044
57,22/11/2018 , 10:57:00,2739,2739
58,22/11/2018 , 10:58:00,2206,2206
59,22/11/2018 , 10:59:00,2187,2187
60,22/11/2018 , 11:00:00,2777,2777
61,22/11/2018 , 11:01:00,1967,1967
62,22/11/2018 , 11:02:00,1789,1789
63,22/11/2018 , 11:03:00,1450,1450
64,22/11/2018 , 11:04:00,1421,1421
65,22/11/2018 , 11:05:00,2147,2147
66,22/11/2018 , 11:06:00,1949,1949
67,22/11/2018 , 11:07:00,1691,1691
68,22/11/2018 , 11:08:00,1683,1683
69,22/11/2018 , 11:09:00,2314,2314
70,22/11/2018 , 11:10:00,2513,2513
71,22/11/2018 , 11:11:00,2978,2978
72,22/11/2018 , 11:12:00,3254,3254
73,22/11/2018 , 11:13:00,3139,3139
74,22/11/2018 , 11:14:00,3286,3286
75,22/11/2018 , 11:15:00,3006,3006
76,22/11/2018 , 11:16:00,1497,1497
77,22/11/2018 , 11:17:00,1491,1491
78,22/11/2018 , 11:18:00,1716,1716
79,22/11/2018 , 11:19:00,2587,2587
80,22/11/2018 , 11:20:00,3152,3152
81,22/11/2018 , 11:21:00,3067,3067
82,22/11/2018 , 11:22:00,3026,3026
83,22/11/2018 , 11:23:00,3010,3010
84,22/11/2018 , 11:24:00,2987,2987
85,22/11/2018 , 11:25:00,2988,2988
86,22/11/2018 , 11:26:00,3006,3006
87,22/11/2018 , 11:27:00,3019,3019
88,22/11/2018 , 11:28:00,3039,3039
89,22/11/2018 , 11:29:00,3050,3050
90,22/11/2018 , 11:30:00,3078,3078
91,22/11/2018 , 11:31:00,3084,3084
92,22/11/2018 , 11:32:00,3079,3079
93,22/11/2018 , 11:33:00,3094,3094
94,22/11/2018 , 11:34:00,3074,3074
95,22/11/2018 , 11:35:00,3084,3084
96,22/11/2018 , 11:36:00,3103,3103
97,22/11/2018 , 11:37:00,3085,3085
98,22/11/2018 , 11:38:00,3088,3088
99,22/11/2018 , 11:39:00,3077,3077
100,22/11/2018 , 11:40:00,3035,3035
101,22/11/2018 , 11:41:00,3066,3066
102,22/11/2018 , 11:42:00,3112,3112
103,22/11/2018 , 11:43:00,3119,3119
