Plot Title: Out 2,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 10675250, SEN S/N: 10675250, LBL: T°C)","Intensity, Lux (LGR S/N: 10675250, SEN S/N: 10675250, LBL: Lumens)"
1,11/27/18 09:00:00 AM,28.258,1980.6
2,11/27/18 09:01:00 AM,28.159,1550
3,11/27/18 09:02:00 AM,28.258,1636.1
4,11/27/18 09:03:00 AM,28.258,1636.1
5,11/27/18 09:04:00 AM,28.159,1636.1
6,11/27/18 09:05:00 AM,28.159,1722.2
7,11/27/18 09:06:00 AM,28.159,1894.5
8,11/27/18 09:07:00 AM,28.159,2411.1
9,11/27/18 09:08:00 AM,28.159,2152.8
10,11/27/18 09:09:00 AM,28.159,1980.6
11,11/27/18 09:10:00 AM,28.06,1894.5
12,11/27/18 09:11:00 AM,28.06,2152.8
13,11/27/18 09:12:00 AM,28.06,2325
14,11/27/18 09:13:00 AM,28.06,1980.6
15,11/27/18 09:14:00 AM,27.961,1894.5
16,11/27/18 09:15:00 AM,27.961,2152.8
17,11/27/18 09:16:00 AM,27.961,2669.5
18,11/27/18 09:17:00 AM,27.961,2325
19,11/27/18 09:18:00 AM,27.961,2238.9
20,11/27/18 09:19:00 AM,27.862,1980.6
21,11/27/18 09:20:00 AM,27.862,1808.3
22,11/27/18 09:21:00 AM,27.862,1808.3
23,11/27/18 09:22:00 AM,27.764,1808.3
24,11/27/18 09:23:00 AM,27.764,1808.3
25,11/27/18 09:24:00 AM,27.764,1808.3
26,11/27/18 09:25:00 AM,27.764,1808.3
27,11/27/18 09:26:00 AM,27.665,1808.3
28,11/27/18 09:27:00 AM,27.665,1808.3
29,11/27/18 09:28:00 AM,27.665,1808.3
30,11/27/18 09:29:00 AM,27.665,1894.5
31,11/27/18 09:30:00 AM,27.567,1894.5
32,11/27/18 09:31:00 AM,27.567,1808.3
33,11/27/18 09:32:00 AM,27.567,1808.3
34,11/27/18 09:33:00 AM,27.567,1894.5
35,11/27/18 09:34:00 AM,27.468,1894.5
36,11/27/18 09:35:00 AM,27.468,1894.5
37,11/27/18 09:36:00 AM,27.468,1980.6
38,11/27/18 09:37:00 AM,27.468,2066.7
