Site Name ,EXPERIMENT
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4607


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,27/11/2018 , 09:01:00,51,51
2,27/11/2018 , 09:02:00,59,59
3,27/11/2018 , 09:03:00,59,59
4,27/11/2018 , 09:04:00,59,59
5,27/11/2018 , 09:05:00,60,60
6,27/11/2018 , 09:06:00,64,64
7,27/11/2018 , 09:07:00,77,77
8,27/11/2018 , 09:08:00,80,80
9,27/11/2018 , 09:09:00,70,70
10,27/11/2018 , 09:10:00,67,67
11,27/11/2018 , 09:11:00,71,71
12,27/11/2018 , 09:12:00,76,76
13,27/11/2018 , 09:13:00,73,73
14,27/11/2018 , 09:14:00,67,67
15,27/11/2018 , 09:15:00,71,71
16,27/11/2018 , 09:16:00,81,81
17,27/11/2018 , 09:17:00,82,82
18,27/11/2018 , 09:18:00,76,76
19,27/11/2018 , 09:19:00,72,72
20,27/11/2018 , 09:20:00,66,66
21,27/11/2018 , 09:21:00,64,64
22,27/11/2018 , 09:22:00,65,65
23,27/11/2018 , 09:23:00,64,64
24,27/11/2018 , 09:24:00,64,64
25,27/11/2018 , 09:25:00,64,64
26,27/11/2018 , 09:26:00,64,64
27,27/11/2018 , 09:27:00,64,64
28,27/11/2018 , 09:28:00,64,64
29,27/11/2018 , 09:29:00,66,66
30,27/11/2018 , 09:30:00,67,67
31,27/11/2018 , 09:31:00,67,67
32,27/11/2018 , 09:32:00,66,66
33,27/11/2018 , 09:33:00,66,66
34,27/11/2018 , 09:34:00,67,67
35,27/11/2018 , 09:35:00,68,68
36,27/11/2018 , 09:36:00,69,69
37,27/11/2018 , 09:37:00,72,72
38,27/11/2018 , 09:38:00,75,75
39,27/11/2018 , 09:39:00,84,84
40,27/11/2018 , 09:40:00,99,99
41,27/11/2018 , 09:41:00,90,90
42,27/11/2018 , 09:42:00,80,80
43,27/11/2018 , 09:43:00,76,76
44,27/11/2018 , 09:44:00,77,77
45,27/11/2018 , 09:45:00,73,73
46,27/11/2018 , 09:46:00,83,83
47,27/11/2018 , 09:47:00,92,92
48,27/11/2018 , 09:48:00,99,99
49,27/11/2018 , 09:49:00,95,95
50,27/11/2018 , 09:50:00,90,90
51,27/11/2018 , 09:51:00,75,75
52,27/11/2018 , 09:52:00,72,72
53,27/11/2018 , 09:53:00,101,101
54,27/11/2018 , 09:54:00,122,122
55,27/11/2018 , 09:55:00,122,122
56,27/11/2018 , 09:56:00,130,130
57,27/11/2018 , 09:57:00,141,141
58,27/11/2018 , 09:58:00,126,126
59,27/11/2018 , 09:59:00,103,103
60,27/11/2018 , 10:00:00,97,97
61,27/11/2018 , 10:01:00,92,92
62,27/11/2018 , 10:02:00,142,142
63,27/11/2018 , 10:03:00,165,165
64,27/11/2018 , 10:04:00,154,154
65,27/11/2018 , 10:05:00,103,103
66,27/11/2018 , 10:06:00,125,125
67,27/11/2018 , 10:07:00,133,133
68,27/11/2018 , 10:08:00,139,139
69,27/11/2018 , 10:09:00,190,190
70,27/11/2018 , 10:10:00,173,173
71,27/11/2018 , 10:11:00,142,142
72,27/11/2018 , 10:12:00,116,116
73,27/11/2018 , 10:13:00,162,162
74,27/11/2018 , 10:14:00,105,105
75,27/11/2018 , 10:15:00,126,126
76,27/11/2018 , 10:16:00,190,190
77,27/11/2018 , 10:17:00,177,177
78,27/11/2018 , 10:18:00,135,135
79,27/11/2018 , 10:19:00,175,175
80,27/11/2018 , 10:20:00,178,178
81,27/11/2018 , 10:21:00,171,171
82,27/11/2018 , 10:22:00,174,174
83,27/11/2018 , 10:23:00,126,126
84,27/11/2018 , 10:24:00,121,121
85,27/11/2018 , 10:25:00,141,141
86,27/11/2018 , 10:26:00,194,194
87,27/11/2018 , 10:27:00,169,169
88,27/11/2018 , 10:28:00,155,155
89,27/11/2018 , 10:29:00,126,126
90,27/11/2018 , 10:30:00,125,125
91,27/11/2018 , 10:31:00,187,187
92,27/11/2018 , 10:32:00,194,194
93,27/11/2018 , 10:33:00,208,208
94,27/11/2018 , 10:34:00,229,229
95,27/11/2018 , 10:35:00,238,238
96,27/11/2018 , 10:36:00,242,242
97,27/11/2018 , 10:37:00,250,250
98,27/11/2018 , 10:38:00,262,262
99,27/11/2018 , 10:39:00,277,277
100,27/11/2018 , 10:40:00,281,281
101,27/11/2018 , 10:41:00,242,242
102,27/11/2018 , 10:42:00,242,242
103,27/11/2018 , 10:43:00,206,206
104,27/11/2018 , 10:44:00,200,200
105,27/11/2018 , 10:45:00,200,200
106,27/11/2018 , 10:46:00,204,204
107,27/11/2018 , 10:47:00,159,159
108,27/11/2018 , 10:48:00,175,175
109,27/11/2018 , 10:49:00,249,249
110,27/11/2018 , 10:50:00,155,155
111,27/11/2018 , 10:51:00,129,129
112,27/11/2018 , 10:52:00,120,120
