ID::ID!!I,Area::Area!!R,Circularity::Circularity!!R,Diameter::Diameter!!R,EllipseMajor::Ellipse Major!!R,EllipseMinor::Ellipse Minor!!R,Perimeter::Perimeter!!R,Radius::Radius!!R,FeretMax::Feret Maximum!!R,FeretMin::Feret Minimum!!R
,"µm²",,"µm","µm","µm","µm","µm","µm","µm"
2,0.18293083900227,0.8813049862579,0.48261245132018,0.24657822434798,0.23848374639315,1.6052745130396,0.24130622566009,0.54761116621999,0.43809523809524
3,0.2249149659864,0.77255118371372,0.5351360844651,0.33552384787801,0.21493918612541,1.8376095982867,0.26756804223255,0.69268689990566,0.43809523809524
4,0.18892857142857,0.76519272192426,0.49046032283272,0.31294186694917,0.19492845416912,1.7280857887628,0.24523016141636,0.64096313096045,0.41176348613725
5,0.48581632653061,0.90833097613525,0.78648620993425,0.39656923456293,0.39224615716354,2.6762174446596,0.39324310496713,0.86585862488207,0.81317279836453
6,0.27889455782313,0.8345899433318,0.59590232406984,0.33837062270174,0.26655647535228,2.1020234646418,0.29795116203492,0.71400611621428,0.58056034439582
7,0.31488095238095,0.83234186077443,0.63318155410222,0.34914537768423,0.28978265508325,2.2115472741656,0.31659077705111,0.76072294803615,0.63687607801739
8,0.49781179138322,0.84503144759972,0.79613670850211,0.43700736194737,0.36469661227853,2.7403750068759,0.39806835425105,0.9421385568117,0.75998394208949
9,0.41684240362812,0.87159392211559,0.72851920511526,0.38140714501368,0.35065349655929,2.4759611405208,0.36425960255763,0.83584704600389,0.7110692779764
10,0.5367970521542,0.87453103639429,0.82672319085652,0.43890674932323,0.39196936712999,2.7990287203828,0.41336159542826,0.94533316309175,0.82142857142857
11,0.41384353741497,0.80821899744487,0.72589390214399,0.44075560286346,0.30304190406034,2.5346148540277,0.36294695107199,0.8981401135569,0.65828274153319
12,0.44083333333333,0.72104777146614,0.74919051825114,0.49665771010063,0.28572362723928,2.6762174446596,0.37459525912557,1.0390303498585,0.61323994975022
