Feature_ID,Control...1,Control...2,Control...3,Coral...4,Coral...5,Coral...6,Coral_Dictyota...7,Coral_Dictyota...8,Coral_Dictyota...9,Coral_Turf...10,Coral_Turf...11,Coral_Turf...12,Dictyota...13,Dictyota...14,Dictyota...15,Turf...16,Turf...17,Turf...18,count
"5_151.1117_8.6036_-1_Spectral Match to Jasmine lactone from NIST14_Massbank:LU092502 N,N-Dimethylacetoacetamide|N,N-dimethyl-3-oxobutanamide_no matches_no matches_no matches_no matches",-550585.5,-476912.9,-714534,-206932.5,0,0,0,0,-466425.4,0,-409643.6,0,-549997,0,-608960.3,-723985.9,-781599.6000000001,-625830.5,11
6_151.1117_7.6928_32_Spectral Match to L-Carvone from NIST14_Spectral Match to L-Carvone from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,-225524.3,0,0,0,0,0,0,0,0,0,-209067.7,0,0,0,0,0,-231092.99,-243126.16,4
13_153.091_4.8548_-1_N/A_Vanillin_no matches_no matches_no matches_no matches,-320287.58999999997,-243732.1,-266556.8,0,0,0,0,0,0,-584856.0700000001,-590265.01,-502858.80000000005,0,0,0,0,0,0,6
14_153.1273_10.0413_-1_Camphora_Camphora_no matches_no matches_no matches_no matches,-364988.9,0,-401563.18,-186565.49999999997,0,0,-211458.8,0,0,0,-287331.3,0,0,0,-172295.3,-212682.7,-253139.30000000002,-320843.48,9
25_155.0467_6.0049_2473_3-amino-1-(2-amino-1H-imidazol-4-yl)-2-chloropropan-1-ol_Massbank:EQ315403 Triethyl phosphate|TEP|Phosphoric acid triethyl ester_Organic compounds_Organic acids and derivatives_Organic phosphoric acids and derivatives_Phosphate esters,-1272597.8,0,-1790791.8,0,0,0,0,0,0,0,0,-905206.2,0,0,-1291972.7,0,-1568977.1,-1511753.2,6
"30_155.1066_6.479_-1_N/A_Massbank:RP030403 ?-linolenic acid|linolenic acid|(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid_no matches_no matches_no matches_no matches",-649069.8,-723817.4,-711258.1,-576676.42,-458029.9,-541358.3200000001,0,0,-260713.87,-357140.45999999996,-266244,0,-246014.93,-217609.1,-192663.90000000002,-210575.54,0,0,13
31_155.1066_3.5548_3025_N/A_D-camphor - 40.0 eV_no matches_no matches_no matches_no matches,0,0,-83455.09,0,0,0,-71468.20999999999,0,0,-704524.52,-750245.42,-764470.52,86794.04999999999,0,0,0,0,-45697.07000000001,7
"32_155.1066_3.2756_364_N/A_9-hydroxyparthenolide_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Bile acids, alcohols and derivatives",-78082.56,0,-84392.93,0,-99517.09,0,0,0,0,-288992.36,-344684.53,0,0,0,114814.44,-115463.51,-139172.62,-137857.39,9
33_155.1066_2.6962_3025_N/A_D-camphor - 40.0 eV_no matches_no matches_no matches_no matches,-86059.53,123458.20000000001,0,-334881.9,-368436.93,-406419.99,0,300861.68,0,-5084172.84,-5085285.04,-5084312.98,-173556.37,-179514.78,277427.6,-274492.63999999996,-269183.81999999995,-271344.83999999997,15
"37_156.0574_2.409_-1_N/A_Massbank:NA000407 Heliotrine|[(7S,8R)-7-hydroxy-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl]methyl (2S)-2-hydroxy-2-[(1R)-1-methoxyethyl]-3-methylbutanoate_no matches_no matches_no matches_no matches",0,-31052.409999999996,0,-46207.732,-40360.301,-24822.83,21940.232,32405.802,-5179.785,-319910.222,-326144.965,-236782.60000000003,26521.749,-2415.423,30185.119,-45169.992,-48108.309,0,15
40_156.0858_7.5971_206_N/A_Spectral Match to Tri(propylene glycol) butyl ether from NIST14_no matches_no matches_no matches_no matches,0,0,-97336.19,-84376.57999999999,0,0,0,0,0,-97361.76999999999,0,0,0,0,0,0,0,0,3
"44_156.1019_7.4349_-1_N/A_Massbank:LU018805 N,N'-Dibutylurea|1,3-dibutylurea_no matches_no matches_no matches_no matches",-87084.12,0,-151221.3,0,0,0,0,0,0,0,0,-154245.61000000002,0,0,-173113.93,0,-116076.23000000001,-133808.94,6
46_156.1383_7.6064_206_N/A_Spectral Match to Tri(propylene glycol) butyl ether from NIST14_no matches_no matches_no matches_no matches,0,0,0,0,-307328.1,0,0,0,0,0,-365596.6,0,0,-201471.10000000003,-181723.90000000002,0,-315635.4,-289418.6,6
"49_157.0836_2.504_3459_Massbank:LU052405 4,4'-Bipyridine|4-pyridin-4-ylpyridine_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Organic compounds_Organoheterocyclic compounds_Pyridines and derivatives_Bipyridines and oligopyridines",-1031199.4,0,-1413377.8,0,0,0,0,-1276756,0,0,0,-923678.7,-1264011,0,-2113736.2,0,0,-699569.5,7
52_157.1223_6.9988_1059_N/A_azelaic acid_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates,-730728.2,0,-830715.7000000001,0,0,0,-264478.4,0,0,0,-218960.09999999998,0,0,-420802.00000000006,-485964.4,0,-721019.3,-737188.3,8
53_157.1223_6.624_-1_N/A_1747371 - 40.0 eV_no matches_no matches_no matches_no matches,0,0,-164674.86,0,0,-123698.62,0,0,-235753.68,0,226308.60000000003,0,-169952.6,0,-217903.47999999998,0,0,-113443.3,7
57_158.0964_9.9041_-1_N/A_Massbank:EA070109 Ritalinic acid| 2-phenyl-2-(2-piperidinyl)acetic acid_no matches_no matches_no matches_no matches,0,-143217.68,241084.7,-111619.69999999998,-121631.09999999999,0,0,-70886.88,0,0,0,121815.78,0,0,0,0,0,0,6
"62_158.1175_5.4651_1589_TRANEXAMIC ACID_TRANEXAMIC ACID_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",-222097.09999999998,-298716.52,-289001.75,-288130.68999999994,-227859.19999999998,-272638.48,0,666676.3,-118356.30000000002,-145703.82,-132658.54,-95442.55,-97012.44,-102996.76000000001,0,-130437.75999999998,0,0,14
"66_158.1539_8.4236_364_hyocholic acid_MoNA:829449 N,N-dibutylnitrous amide_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Bile acids, alcohols and derivatives",-56381.990000000005,0,-51802.740000000005,0,0,0,0,-60450.939999999995,0,0,0,253744.17,0,-63402.189999999995,0,0,-65948.34999999999,-77083.97,7
69_159.0652_2.8397_3518_N/A_NA_no matches_no matches_no matches_no matches,-694303.3,0,-737862,0,0,402817.60000000003,0,0,0,0,0,0,0,0,-392251.30000000005,0,-613702.5,-499559.00000000006,6
