Feature_ID,Coral,Coral_Dictyota,Coral_Turf,Turf,Dictyota,count
31_155.1066_3.5548_3025_N/A_D-camphor - 40.0 eV_no matches_no matches_no matches_no matches,NA,NA,800646.5,NA,NA,1
"32_155.1066_3.2756_364_N/A_9-hydroxyparthenolide_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Bile acids, alcohols and derivatives",NA,NA,383576.2,NA,NA,1
33_155.1066_2.6962_3025_N/A_D-camphor - 40.0 eV_no matches_no matches_no matches_no matches,439336.8,NA,5110654,285792.6,NA,3
"37_156.0574_2.409_-1_N/A_Massbank:NA000407 Heliotrine|[(7S,8R)-7-hydroxy-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl]methyl (2S)-2-hydroxy-2-[(1R)-1-methoxyethyl]-3-methylbutanoate_no matches_no matches_no matches_no matches",NA,NA,327928.4,NA,NA,1
"76_161.0808_6.5014_212_N/A_2-methoxy-1-(2,4,6-trihydroxyphenyl)ethan-1-one_no matches_no matches_no matches_no matches",NA,NA,55203.35,NA,NA,1
"91_163.0389_7.9667_573_N/A_4-(2H-benzo[3,4-d]1,3-dioxolan-5-ylmethylene)-3-phenylisoxazol-5-one_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",1360636,NA,1152408,NA,NA,2
"95_163.0389_8.3471_573_Massbank:LU019403 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione_TRANS-CINNAMALDEHYDE_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",193637.5,NA,214396.1,171382.6,244051.6,4
"126_163.1328_5.2065_70_N/A_9-(2,3-dihydroxy-3-methylbutyl)-4-methoxyfuro[3,2-g]chromen-7-one_no matches_no matches_no matches_no matches",NA,8979754,NA,NA,9131845,2
144_164.557_5.4191_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,17446.41,NA,1
"149_165.091_6.2941_4276_(1s,4r)-7,7-dimethyl-2-oxobicyclo[2.2.1]heptane-1-carboxylic acid_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",NA,494017.4,NA,568566.6,NA,2
154_165.1273_10.6871_-1_N/A_5-Allyloxypsoralen_no matches_no matches_no matches_no matches,NA,283618.6,214765.1,678494.8,222626,4
156_165.1386_6.6471_-1_N/A_magnolol_no matches_no matches_no matches_no matches,NA,25047.97,226338.3,410261,34129,4
173_167.0702_6.8538_32_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,286789.9,NA,411368.3,2
174_167.0702_6.4747_32_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,NA,210023.7,NA,1
