Feature_ID,Coral,Coral_Dictyota,Coral_Turf,Turf,Dictyota,count
"5_151.1117_8.6036_-1_Spectral Match to Jasmine lactone from NIST14_Massbank:LU092502 N,N-Dimethylacetoacetamide|N,N-dimethyl-3-oxobutanamide_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
6_151.1117_7.6928_32_Spectral Match to L-Carvone from NIST14_Spectral Match to L-Carvone from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,NA,NA,NA,0
13_153.091_4.8548_-1_N/A_Vanillin_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
14_153.1273_10.0413_-1_Camphora_Camphora_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"15_154.1226_5.5576_-1_Massbank: Gabapentin-lactam|2-azaspiro[4.5]decan-3-one_Massbank: Pirimicarb-desamido|2-(dimethylamino)-5,6-dimethyl-1H-pyrimidin-4-one_Organic compounds_Organoheterocyclic compounds_Azaspirodecane derivatives_NA",NA,NA,NA,NA,NA,0
25_155.0467_6.0049_2473_3-amino-1-(2-amino-1H-imidazol-4-yl)-2-chloropropan-1-ol_Massbank:EQ315403 Triethyl phosphate|TEP|Phosphoric acid triethyl ester_Organic compounds_Organic acids and derivatives_Organic phosphoric acids and derivatives_Phosphate esters,NA,NA,NA,NA,NA,0
"30_155.1066_6.479_-1_N/A_Massbank:RP030403 ?-linolenic acid|linolenic acid|(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
31_155.1066_3.5548_3025_N/A_D-camphor - 40.0 eV_no matches_no matches_no matches_no matches,NA,NA,800646.5,NA,NA,1
"32_155.1066_3.2756_364_N/A_9-hydroxyparthenolide_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Bile acids, alcohols and derivatives",NA,NA,383576.2,NA,NA,1
33_155.1066_2.6962_3025_N/A_D-camphor - 40.0 eV_no matches_no matches_no matches_no matches,439336.8,NA,5110654,285792.6,NA,3
"37_156.0574_2.409_-1_N/A_Massbank:NA000407 Heliotrine|[(7S,8R)-7-hydroxy-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl]methyl (2S)-2-hydroxy-2-[(1R)-1-methoxyethyl]-3-methylbutanoate_no matches_no matches_no matches_no matches",NA,NA,327928.4,NA,NA,1
40_156.0858_7.5971_206_N/A_Spectral Match to Tri(propylene glycol) butyl ether from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"44_156.1019_7.4349_-1_N/A_Massbank:LU018805 N,N'-Dibutylurea|1,3-dibutylurea_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
46_156.1383_7.6064_206_N/A_Spectral Match to Tri(propylene glycol) butyl ether from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"49_157.0836_2.504_3459_Massbank:LU052405 4,4'-Bipyridine|4-pyridin-4-ylpyridine_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Organic compounds_Organoheterocyclic compounds_Pyridines and derivatives_Bipyridines and oligopyridines",NA,NA,NA,NA,NA,0
52_157.1223_6.9988_1059_N/A_azelaic acid_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates,NA,NA,NA,NA,NA,0
53_157.1223_6.624_-1_N/A_1747371 - 40.0 eV_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
57_158.0964_9.9041_-1_N/A_Massbank:EA070109 Ritalinic acid| 2-phenyl-2-(2-piperidinyl)acetic acid_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"62_158.1175_5.4651_1589_TRANEXAMIC ACID_TRANEXAMIC ACID_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,0
"66_158.1539_8.4236_364_hyocholic acid_MoNA:829449 N,N-dibutylnitrous amide_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Bile acids, alcohols and derivatives",NA,NA,NA,NA,NA,0
69_159.0652_2.8397_3518_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
70_159.0652_5.5987_3518_N/A_2-Methyllactate - 40.0 eV_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
73_159.1379_6.2271_166_N/A_Spectral Match to Tri(propylene glycol) butyl ether from NIST14_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Alcohols and polyols,NA,NA,NA,NA,NA,0
"75_161.0808_6.3216_212_N/A_2-methoxy-1-(2,4,6-trihydroxyphenyl)ethan-1-one_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
"76_161.0808_6.5014_212_N/A_2-methoxy-1-(2,4,6-trihydroxyphenyl)ethan-1-one_no matches_no matches_no matches_no matches",NA,NA,55203.35,NA,NA,1
"82_161.096_9.0864_3041_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to .gamma.-Tocotrienol from NIST14_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
"90_163.0388_8.6263_573_Massbank:LU019401 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione_MoNA:935504 Dimethyl benzene-1,2-dicarboxylate_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",NA,NA,NA,NA,NA,0
"91_163.0389_7.9667_573_N/A_4-(2H-benzo[3,4-d]1,3-dioxolan-5-ylmethylene)-3-phenylisoxazol-5-one_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",1360636,NA,1152408,NA,NA,2
