"","O1903027","O1903029","O1903032","O1903033","O1903035","O1903040","O1903047","O1903048","O1903050","O1903054","O1903056","O1903057","O1903059","O1903062","O1903063","O1903065","O1903066","O1903069","O1903071","O1903072","O1903075","O1903076","O1903078","O1903080"
"2_151.0753_7.1232_4508_Divarinol_Massbank:NA002981 4-Hydroxycoumarin|CID 14101|2-hydroxychromen-4-one_Organic compounds_Benzenoids_Benzene and substituted derivatives_Phenylpropanes","9.167254e+04","1.245363e+05","2.115690e+05","1.233291e+05","1.682103e+05","1.786920e+05","1.251607e+05","1.585075e+05","1.617758e+05","2.109960e+05","1.935110e+05","1.626147e+05","1.406917e+05","1.412367e+05","1.537681e+05","1.499739e+05","1.734480e+05","2.022168e+05","1.797136e+05","1.631800e+05","2.226294e+05","1.704985e+05","1.378644e+05","1.443105e+05"
"10_153.0669_4.2385_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","2.218401e+03","0.000000e+00","0.000000e+00","2.182555e+03","2.762353e+03","2.252058e+03","0.000000e+00","0.000000e+00","0.000000e+00","2.862210e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.554423e+03","0.000000e+00","0.000000e+00","0.000000e+00"
"27_155.0702_5.4323_7728_N/A_""1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE""_Organic compounds_Benzenoids_Phenols_Methoxyphenols","1.287619e+05","1.413227e+05","3.771442e+05","7.838875e+04","4.120312e+05","1.687761e+05","4.342929e+04","1.935531e+05","2.160650e+05","1.570475e+05","1.263869e+05","3.481625e+05","1.019741e+05","1.310375e+05","1.817531e+05","1.622864e+05","1.618067e+05","2.117656e+05","1.307892e+05","2.171584e+05","2.093503e+05","1.320889e+05","1.954894e+05","1.969950e+05"
"47_156.5778_2.2819_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"55_158.0634_5.0782_-1_N/A_Synephrine - 30.0 eV_no matches_no matches_no matches_no matches","2.154105e+04","5.817284e+03","2.004850e+04","1.846451e+04","2.537648e+04","2.730002e+04","2.173241e+04","2.828529e+04","2.198074e+04","2.156951e+04","2.421746e+04","2.514133e+04","2.014030e+04","2.212458e+04","2.758637e+04","2.327425e+04","2.217351e+04","1.221744e+04","3.081530e+04","2.638190e+04","1.848252e+04","2.810305e+04","1.822672e+04","1.375051e+04"
"65_158.1539_8.8035_364_hyocholic acid_Massbank:LU031601 4-Butyloxyaniline|4-butoxyaniline_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Bile acids, alcohols and derivatives","2.832267e+07","2.708513e+07","3.935700e+07","2.702490e+07","3.929250e+07","6.404537e+07","2.151224e+07","2.369076e+07","2.840743e+07","1.873585e+07","2.830230e+07","4.701575e+07","2.097222e+07","3.074321e+07","3.682966e+07","3.276107e+07","2.716268e+07","4.458117e+07","2.918215e+07","2.973427e+07","2.452075e+07","4.262954e+07","2.271719e+07","2.548103e+07"
"67_158.1539_8.2487_364_hyocholic acid_Massbank:LU130202 N-Ethyl-4-menthane-3-carboxamide|N-Ethyl-p-menthane-3-carboxamide|N-ethyl-5-methyl-2-propan-2-ylcyclohexane-1-carboxamide_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Bile acids, alcohols and derivatives","1.518915e+05","1.857909e+05","3.543568e+05","2.414796e+05","4.524923e+05","6.905518e+05","2.352861e+05","1.901893e+05","1.961560e+05","1.441083e+05","2.111877e+05","4.440855e+05","2.241558e+05","2.070772e+05","3.571164e+05","3.000932e+05","2.030117e+05","4.682461e+05","2.888931e+05","2.636899e+05","1.870421e+05","2.153231e+05","2.201857e+05","1.916565e+05"
"81_161.096_9.1557_3041_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to .gamma.-Tocotrienol from NIST14_no matches_no matches_no matches_no matches","7.853947e+04","1.098011e+05","1.318219e+05","1.169078e+05","1.754522e+05","1.063460e+05","1.287084e+05","1.433864e+05","3.346662e+05","1.347574e+05","1.494228e+05","2.589835e+05","1.257115e+05","1.026870e+05","1.385172e+05","1.793830e+05","1.215648e+05","2.582462e+05","1.415059e+05","1.696664e+05","3.128838e+05","1.216066e+05","1.756966e+05","1.520667e+05"
"104_163.0865_3.7155_1122_N/A_4-((hydroxyimino)methyl)-1-methylhydroquinolin-2-one_no matches_no matches_no matches_no matches","3.127857e+04","3.261325e+04","1.018313e+04","3.149401e+04","2.206128e+04","4.901028e+04","3.441351e+04","3.811662e+04","5.360407e+04","4.026413e+04","2.597190e+04","1.831500e+04","2.687251e+04","2.649744e+04","2.579695e+04","4.574039e+04","2.950662e+04","3.530099e+04","2.746483e+04","3.026015e+04","4.265839e+04","3.253450e+04","4.543785e+04","4.777678e+04"
"105_163.0865_3.5939_1122_N/A_4-((hydroxyimino)methyl)-1-methylhydroquinolin-2-one_no matches_no matches_no matches_no matches","1.881484e+05","1.433142e+05","1.024210e+05","1.650333e+05","1.564133e+05","2.211672e+05","1.439810e+05","1.282369e+05","2.224026e+05","1.686043e+05","2.165991e+05","1.450932e+05","2.481895e+05","1.168786e+05","1.555001e+05","1.281958e+05","1.633752e+05","1.470137e+05","1.543673e+05","1.262710e+05","1.340481e+05","1.788366e+05","1.327134e+05","3.307422e+04"
